max_bins,min_samples_leaf,interactions,max_leaves,learning_rate,max_rounds,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
4096.0,2.0,8.0,10000.0,0.001,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.208272,0.220126,0.220126,0.692343,0.686891,0.686891,201893035553120.1,213211344625011.7,213211344625011.7,43.36,19260817.0,-1.0,0.549887,0.552411,0.552411
4096.0,2.0,2.0,100.0,0.001,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.074614,0.080728,0.080728,0.748505,0.745757,0.745757,49961386259998.84,51932108323915.87,51932108323915.87,3.61,19260817.0,-1.0,0.528118,0.578616,0.578616
4.0,32.0,8.0,10000.0,1.0,200.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.530917,0.559137,0.559137,0.532915,0.516449,0.516449,435406206998032.8,445739250026654.4,445739250026654.4,12.07,19260817.0,-1.0,0.52449,0.566038,0.566038
4096.0,2.0,8.0,100.0,1.0,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.532998,0.563267,0.563267,0.531732,0.514024,0.514024,436387160375915.8,447143161764029.1,447143161764029.1,3.73,19260817.0,-1.0,0.521315,0.587002,0.587002
4096.0,32.0,2.0,100.0,1.0,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.563006,0.564482,0.564482,0.514364,0.513308,0.513308,547694520549278.06,593384085719583.6,593384085719583.6,29.86,19260817.0,-1.0,0.547166,0.556604,0.556604
4.0,2.0,8.0,10000.0,0.001,200.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.464128,0.487541,0.487541,0.569592,0.556807,0.556807,473661660952477.1,487665542032229.94,487665542032229.94,82.06,19260817.0,-1.0,0.542857,0.54717,0.54717
4096.0,32.0,8.0,10000.0,1.0,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.571494,0.56931,0.56931,0.509345,0.510455,0.510455,422998511361777.9,468741438503118.7,468741438503118.7,11.79,19260817.0,-1.0,0.55102,0.590147,0.590147
4.0,32.0,2.0,10000.0,1.0,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.526447,0.556765,0.556765,0.535448,0.517836,0.517836,602645709824368.5,618164231515753.8,618164231515753.8,10.83,19260817.0,-1.0,0.535147,0.561845,0.561845
4.0,2.0,8.0,100.0,0.001,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.15436,0.162068,0.162068,0.715527,0.711999,0.711999,139531702817059.72,142745426250931.34,142745426250931.34,27.97,19260817.0,-1.0,0.532426,0.556604,0.556604
4.0,32.0,2.0,100.0,1.0,200.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.519282,0.532686,0.532686,0.539484,0.531716,0.531716,708203362435059.0,724990404893075.2,724990404893075.2,43.65,19260817.0,-1.0,0.536281,0.560797,0.560797
4096.0,32.0,8.0,10000.0,1.0,200.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.586922,0.54771,0.54771,0.500091,0.523099,0.523099,455630929805896.5,528159774601673.4,528159774601673.4,38.95,19260817.0,-1.0,0.55805,0.56499,0.56499
