n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
25.0,3.0,0.85,0.4,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.409499,-0.409683,-0.409683,0.923774,0.923498,0.923498,1950803112578972.8,1951012593120572.8,1951012593120572.8,10.84,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.4,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2.1240765525893592e+47,-2.125623459506225e+47,-2.125623459506225e+47,3.586066863767497e+23,3.586066863767497e+23,3.586066863767497e+23,1.4026439411192163e+39,1.4028009658750062e+39,1.4028009658750062e+39,1.59,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.4,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-2.1237026861054712e+47,-2.125249320745592e+47,-2.125249320745592e+47,3.585751251505611e+23,3.585751251505611e+23,3.585751251505611e+23,1.402520493441386e+39,1.4026775043773167e+39,1.4026775043773167e+39,6.95,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.85,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409232,-0.409408,-0.409408,0.923686,0.923408,0.923408,1950801399457970.5,1951017656015780.0,1951017656015780.0,2.52,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.85,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.408529,-0.408703,-0.408703,0.923456,0.923177,0.923177,1950783599848488.0,1950996001177420.8,1950996001177420.8,16.34,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.85,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2.128871017305882e+47,-2.130421415900401e+47,-2.130421415900401e+47,3.5901118168088163e+23,3.5901118168088163e+23,3.5901118168088163e+23,1.4042260724879434e+39,1.4043832743619482e+39,1.4043832743619482e+39,3.41,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.85,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-2.1341080901378607e+47,-2.1356623027494304e+47,-2.1356623027494304e+47,3.594524984155669e+23,3.594524984155669e+23,3.594524984155669e+23,1.4059522261474726e+39,1.406109621262862e+39,1.406109621262862e+39,12.81,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.85,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409232,-0.409408,-0.409408,0.923686,0.923408,0.923408,1950801399457970.5,1951017656015780.0,1951017656015780.0,4.75,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.85,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.408529,-0.408703,-0.408703,0.923456,0.923177,0.923177,1950783599848488.0,1950996001177420.8,1950996001177420.8,15.74,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.85,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2.128871017305882e+47,-2.130421415900401e+47,-2.130421415900401e+47,3.5901118168088163e+23,3.5901118168088163e+23,3.5901118168088163e+23,1.4042260724879434e+39,1.4043832743619482e+39,1.4043832743619482e+39,4.43,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.85,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-2.1341080901378607e+47,-2.1356623027494304e+47,-2.1356623027494304e+47,3.594524984155669e+23,3.594524984155669e+23,3.594524984155669e+23,1.4059522261474726e+39,1.406109621262862e+39,1.406109621262862e+39,12.7,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409574,-0.409729,-0.409729,0.923799,0.923513,0.923513,1950801374076580.0,1951019616309034.5,1951019616309034.5,7.35,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.408191,-0.409443,-0.409443,0.923345,0.923419,0.923419,1950952734928076.8,1951246374002334.8,1951246374002334.8,162.3,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.4,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2.115535358283445e+47,-2.1170760448818708e+47,-2.1170760448818708e+47,3.5788495751486584e+23,3.5788495751486584e+23,3.5788495751486584e+23,1.3998209914818842e+39,1.3999777002109442e+39,1.3999777002109442e+39,3.36,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.4,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-1.1120376658187815e+47,-1.1128475324664659e+47,-1.1128475324664659e+47,2.594735234366644e+23,2.594735234366644e+23,2.594735234366644e+23,1.0148973216492959e+39,1.0150109385120019e+39,1.0150109385120019e+39,90.22,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.4,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409574,-0.409729,-0.409729,0.923799,0.923513,0.923513,1950801371443808.8,1951019620060808.8,1951019620060808.8,7.5,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.4,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.40819,-0.409441,-0.409441,0.923345,0.923419,0.923419,1950950767194936.0,1951245305948055.2,1951245305948055.2,165.0,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.4,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2.1156635705791285e+47,-2.117204350551065e+47,-2.117204350551065e+47,3.5789580218276855e+23,3.5789580218276855e+23,3.5789580218276855e+23,1.3998634090058875e+39,1.4000201224835515e+39,1.4000201224835515e+39,2.05,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.4,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-1.1246219917141015e+47,-1.1254410231824926e+47,-1.1254410231824926e+47,2.6093755360353e+23,2.6093755360353e+23,2.6093755360353e+23,1.0206236873897615e+39,1.020737945314077e+39,1.020737945314077e+39,86.42,19260817.0,0.235374,0.21174,0.21174
25.0,192.0,0.4,0.85,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409012,-0.409168,-0.409168,0.923614,0.923329,0.923329,1950803509586112.5,1951025097632584.8,1951025097632584.8,13.77,19260817.0,0.235374,0.21174,0.21174
