n_estimators,max_depth,max_samples,max_features,ccp_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,bootstrap,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
25.0,192.0,0.85,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.954464,0.532071,0.532071,0.166039,0.532066,0.532066,121174810663084.66,518643866846481.6,518643866846481.6,36.4,19260817.0,-1.0,True,0.826757,0.57652,0.57652
25.0,24.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.104014,0.107446,0.107446,0.736519,0.734839,0.734839,65719645892388.52,65646866622669.24,65646866622669.234,21.32,19260817.0,-1.0,True,0.506122,0.546122,0.546122
25.0,24.0,0.85,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.598512,0.513578,0.513578,0.493026,0.542478,0.542478,396910794205370.7,450648089423964.2,450648089423964.2,1.97,19260817.0,-1.0,True,0.617687,0.553459,0.553459
25.0,192.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.078817,0.080545,0.080545,0.746803,0.745831,0.745831,104349345893957.52,103025864501266.23,103025864501266.23,32.81,19260817.0,-1.0,True,0.505215,0.557652,0.557652
25.0,24.0,0.4,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.588482,0.523674,0.523674,0.499146,0.536819,0.536819,402892020922412.7,448444530443476.94,448444530443476.94,1.33,19260817.0,-1.0,True,0.60839,0.548218,0.548218
25.0,192.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.093,0.095723,0.095723,0.741032,0.73965,0.73965,83802897254323.5,82520666979118.64,82520666979118.64,36.82,19260817.0,-1.0,True,0.505215,0.557652,0.557652
25.0,24.0,0.4,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.801966,0.558054,0.558054,0.346261,0.517082,0.517082,263883893764146.0,470081129904578.9,470081129904578.9,3.5,19260817.0,-1.0,True,0.714966,0.575472,0.575472
400.0,24.0,0.85,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.896032,0.539823,0.539823,0.25089,0.52764,0.52764,171237327604207.22,472594706996802.3,472594706996802.3,163.99,19260817.0,-1.0,True,0.793197,0.595388,0.595388
25.0,3.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.222859,0.230919,0.230919,0.685935,0.682121,0.682121,189419492219474.62,189500478260980.47,189500478260980.47,1.67,19260817.0,-1.0,True,0.506122,0.546122,0.546122
400.0,192.0,0.85,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.961659,0.554934,0.554934,0.152358,0.518904,0.518904,111329989048449.36,507111097039713.4,507111097039713.4,624.82,19260817.0,-1.0,True,0.815646,0.603774,0.603774
25.0,3.0,0.4,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.354,0.381886,0.381886,0.625388,0.611518,0.611518,336484980182116.44,351014919818799.8,351014919818799.8,0.59,19260817.0,-1.0,True,0.545351,0.579665,0.579665
25.0,3.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.102307,0.104666,0.104666,0.73722,0.735983,0.735983,59391075049807.88,59499132903251.05,59499132903251.05,0.24,19260817.0,-1.0,True,0.505215,0.557652,0.557652
