alpha,n_estimators,max_features,max_samples,weighted,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
100.0,400.0,0.85,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,243604000240.1757,243631271493.7888,243631271493.7888,177.28,19260817.0,-1.0,0.235374,0.21174,0.21174
0.0001,400.0,0.85,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.505228,0.532889,0.532889,0.547313,0.5316,0.5316,699697893370789.1,715244047921170.1,715244047921170.1,1987.76,19260817.0,-1.0,0.529025,0.560797,0.560797
0.0001,25.0,0.85,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.499679,0.526293,0.526293,0.550374,0.535341,0.535341,716252081862692.2,736858206443309.8,736858206443309.8,5.78,19260817.0,-1.0,0.526984,0.568134,0.568134
100.0,400.0,0.85,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,237826637804.25308,237853262287.22165,237853262287.22165,192.86,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,400.0,0.85,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,243604000240.1757,243631271493.7888,243631271493.7888,101.52,19260817.0,-1.0,0.235374,0.21174,0.21174
0.0001,25.0,0.85,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.49931,0.524266,0.524266,0.550577,0.536485,0.536485,697521170700710.6,716757367954914.1,716757367954914.1,5.35,19260817.0,-1.0,0.521995,0.568134,0.568134
0.0001,400.0,0.85,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.499308,0.525664,0.525664,0.550577,0.535696,0.535696,718187614167701.8,738600676120730.8,738600676120730.8,104.45,19260817.0,-1.0,0.526531,0.56499,0.56499
0.0001,25.0,0.85,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.506083,0.533647,0.533647,0.54684,0.531169,0.531169,714496949464743.9,728896113801972.4,728896113801972.4,538.76,19260817.0,-1.0,0.535147,0.571279,0.571279
0.0001,25.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.500436,0.527305,0.527305,0.549957,0.534768,0.534768,716528588191178.1,735735334381611.9,735735334381611.9,115.42,19260817.0,-1.0,0.530839,0.568134,0.568134
0.0001,400.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.470428,0.491884,0.491884,0.566234,0.554443,0.554443,721762538133835.5,743873470229336.9,743873470229336.9,656.85,19260817.0,-1.0,0.538549,0.578616,0.578616
0.0001,25.0,0.85,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.505108,0.532744,0.532744,0.547379,0.531683,0.531683,699939173329500.6,715973374514338.5,715973374514338.5,22.37,19260817.0,-1.0,0.527438,0.567086,0.567086
100.0,400.0,0.4,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,262178757054.7061,262208107736.0108,262208107736.0108,83.88,19260817.0,-1.0,0.235374,0.21174,0.21174
0.0001,25.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.466757,0.487823,0.487823,0.568193,0.556654,0.556654,738093745404277.5,761224446084801.1,761224446084801.1,16.03,19260817.0,-1.0,0.540816,0.57652,0.57652
100.0,25.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-6e-06,-6e-06,-6e-06,0.778099,0.777816,0.777816,7741772693501.011,7742639378146.303,7742639378146.303,5.01,19260817.0,-1.0,0.235374,0.21174,0.21174
0.0001,400.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.470435,0.491882,0.491882,0.56623,0.554444,0.554444,721473355643661.4,743561810374671.8,743561810374671.8,188.82,19260817.0,-1.0,0.538549,0.578616,0.578616
100.0,25.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-2e-06,-2e-06,-2e-06,0.778097,0.777814,0.777814,4233977792054.239,4234451782144.9,4234451782144.9,7.12,19260817.0,-1.0,0.235374,0.21174,0.21174
0.0001,25.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.499703,0.526343,0.526343,0.55036,0.535312,0.535312,716158135649533.8,736683785987324.9,736683785987324.9,11.87,19260817.0,-1.0,0.526984,0.568134,0.568134
0.0001,25.0,0.4,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.351222,0.380001,0.380001,0.626731,0.61245,0.61245,621907400014798.0,634375313143604.0,634375313143604.0,2.17,19260817.0,-1.0,0.533787,0.56499,0.56499
0.0001,400.0,0.85,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.50493,0.531881,0.531881,0.547478,0.532174,0.532174,704215931039470.2,721139929390058.5,721139929390058.5,499.27,19260817.0,-1.0,0.527891,0.563941,0.563941
100.0,25.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,-2e-06,-2e-06,-2e-06,0.778097,0.777814,0.777814,4233977792054.239,4234451782144.9,4234451782144.9,4.7,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-6e-06,-6e-06,-6e-06,0.778099,0.777816,0.777816,7741772693501.011,7742639378146.303,7742639378146.303,10.33,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,-6e-06,-6e-06,-6e-06,0.778099,0.777816,0.777816,7741772693501.011,7742639378146.303,7742639378146.303,5.08,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,400.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,1211011968255.917,1211147539980.8574,1211147539980.8574,84.08,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,400.0,0.4,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,262178757054.7061,262208107736.0108,262208107736.0108,167.89,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,400.0,0.85,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,1211011968255.917,1211147539980.8574,1211147539980.8574,89.1,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,400.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,262178757054.7061,262208107736.0108,262208107736.0108,181.14,19260817.0,-1.0,0.235374,0.21174,0.21174
