n_hidden_layers,lambda_lasso,learning_rate,activation,dropout_prob,num_epochs,epoch_batch_size,batch_normalisation,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,verbose,loss_function,batch_size,gpu,gpu_id,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
1.0,1e-06,1.0,tanh,0.1,1000.0,8192.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.26322,0.283702,0.283702,0.667886,0.658297,0.658297,1464063447069188.8,1485074823661956.0,1485074823661956.0,1278.29,19260817.0,False,MSE,128.0,False,0.0,0.445351,0.4413,0.4413
5.0,1e-06,0.0001,relu,0.1,1000.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.232828,0.233321,0.233321,0.681522,0.681055,0.681055,450130209736497.75,454815659600478.7,454815659600478.7,55.4,19260817.0,False,MSE,128.0,False,0.0,0.452154,0.436059,0.436059
5.0,1e-06,1.0,relu,0.5,100.0,8192.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-4.981777,-1.79787,-1.79787,1.903042,1.301035,1.301035,438440950160834.56,376727716554825.7,376727716554825.7,172.76,19260817.0,False,MSE,128.0,False,0.0,0.079819,0.062893,0.062893
5.0,0.1,0.0001,relu,0.5,1000.0,8192.0,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,94892379.706152,94903002.824504,94903002.824504,1512.79,19260817.0,False,MSE,128.0,False,0.0,0.235374,0.21174,0.21174
5.0,0.1,1.0,relu,0.5,100.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.000915,0.000904,0.000904,0.77774,0.777461,0.777461,97335876339593.7,97389904473470.36,97389904473470.36,5.51,19260817.0,False,MSE,128.0,False,0.0,0.115646,0.101677,0.101677
5.0,1e-06,1.0,tanh,0.1,100.0,8192.0,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,-0.094071,-0.09008,-0.09008,0.813872,0.812091,0.812091,2127627348239790.5,2127126130721308.8,2127126130721308.8,149.81,19260817.0,False,MSE,128.0,False,0.0,0.505215,0.485325,0.485325
5.0,1e-06,0.0001,tanh,0.5,100.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.01665,-0.005747,-0.005747,0.771591,0.780045,0.780045,1507338658600893.0,1542996167014135.2,1542996167014135.2,6.34,19260817.0,False,MSE,128.0,False,0.0,0.436054,0.494759,0.494759
5.0,1e-06,1.0,relu,0.1,100.0,128.0,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-15.453887,-15.465141,-15.465141,3.156222,3.156152,3.156152,1.196413264521197e+16,1.196547201934091e+16,1.196547201934091e+16,5.71,19260817.0,False,MSE,128.0,False,0.0,0.235374,0.21174,0.21174
1.0,0.1,0.0001,tanh,0.1,100.0,8192.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.388108,0.402369,0.402369,0.608654,0.601301,0.601301,306943223897805.6,305455551949935.0,305455551949935.0,138.54,19260817.0,False,MSE,128.0,False,0.0,0.508617,0.563941,0.563941
1.0,1e-06,1.0,relu,0.5,1000.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.202417,0.219142,0.219142,0.694898,0.687323,0.687323,626096800211752.2,627147407456149.8,627147407456149.8,54.56,19260817.0,False,MSE,128.0,False,0.0,0.511338,0.563941,0.563941
5.0,1e-06,1.0,tanh,0.1,1000.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.194527,0.208574,0.208574,0.698327,0.691959,0.691959,599623652210315.4,593757614338360.0,593757614338360.0,59.74,19260817.0,False,MSE,128.0,False,0.0,0.493197,0.544025,0.544025
1.0,0.1,1.0,relu,0.1,100.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.404104,0.426653,0.426653,0.600646,0.588958,0.588958,566811444331549.8,582408193228455.1,582408193228455.1,5.75,19260817.0,False,MSE,128.0,False,0.0,0.543084,0.514675,0.514675
5.0,0.1,1.0,relu,0.5,100.0,8192.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-0.007939,-0.008188,-0.008188,0.781179,0.780991,0.780991,237141771199985.28,237302646946560.8,237302646946560.8,162.42,19260817.0,False,MSE,128.0,False,0.0,0.235374,0.21174,0.21174
