n_estimators,max_depth,max_samples,max_features,ccp_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
25.0,192.0,0.85,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.951147,0.535571,0.535571,0.17198,0.530072,0.530072,130343586932222.06,526331724835824.25,526331724835824.25,99.3,19260817.0,-1.0,0.821995,0.587002,0.587002
25.0,192.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.1655,0.173644,0.173644,0.710798,0.707064,0.707064,57180768312102.33,58282947569043.63,58282947569043.63,30.18,19260817.0,-1.0,0.514739,0.552411,0.552411
25.0,192.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.16491,0.172759,0.172759,0.71105,0.707443,0.707443,78930709982470.2,79879961143753.8,79879961143753.8,154.78,19260817.0,-1.0,0.502041,0.542977,0.542977
25.0,192.0,0.85,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.598963,0.503685,0.503685,0.492748,0.547966,0.547966,396342251757370.8,454066115948700.4,454066115948700.5,7.96,19260817.0,-1.0,0.638095,0.554507,0.554507
25.0,192.0,0.85,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.955672,0.513466,0.513466,0.163822,0.54254,0.54254,116835551668210.66,540133177167146.56,540133177167146.56,214.55,19260817.0,-1.0,0.816553,0.607966,0.607966
25.0,192.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.33209,0.349444,0.349444,0.635905,0.627361,0.627361,118344674271286.1,121099127866654.69,121099127866654.69,32.21,19260817.0,-1.0,0.514739,0.552411,0.552411
25.0,192.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.392613,0.413371,0.413371,0.60641,0.59574,0.59574,183899324251263.7,187362065466561.7,187362065466561.7,255.55,19260817.0,-1.0,0.514739,0.552411,0.552411
400.0,3.0,0.4,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.425435,0.461456,0.461456,0.589797,0.570802,0.570802,346796134719116.4,366984690609491.1,366984690609491.1,12.34,19260817.0,-1.0,0.517007,0.541929,0.541929
400.0,3.0,0.4,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.454799,0.482195,0.482195,0.574528,0.559704,0.559704,312444736972725.06,332211064033302.6,332211064033302.6,89.48,19260817.0,-1.0,0.538776,0.568134,0.568134
400.0,3.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.177384,0.185625,0.185625,0.705719,0.70192,0.70192,55737850844460.086,56717029500790.35,56717029500790.37,11.93,19260817.0,-1.0,0.514739,0.552411,0.552411
