max_depth,max_bins,interaction_cst,learning_rate,l2_regularization,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
3.0,255.0,no_interactions,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.525137,0.558644,0.558644,0.536189,0.516737,0.516737,485620436271574.8,497866249846031.1,497866249846031.1,1.45,19260817.0,0.515193,0.568134,0.568134
3.0,255.0,no_interactions,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.537735,0.565476,0.565476,0.529028,0.512722,0.512722,524357029196842.56,542908382714096.6,542908382714096.6,7.61,19260817.0,0.532426,0.562893,0.562893
3.0,255.0,no_interactions,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.525116,0.558647,0.558647,0.5362,0.516736,0.516736,485649692690646.8,497929827356873.44,497929827356873.44,1.93,19260817.0,0.515193,0.568134,0.568134
3.0,255.0,no_interactions,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.537631,0.565527,0.565527,0.529088,0.512692,0.512692,524439023028105.1,543158817538005.8,543158817538005.8,7.71,19260817.0,0.533107,0.567086,0.567086
3.0,255.0,pairwise,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-1e-06,-1e-06,-1e-06,0.778096,0.777813,0.777813,2365493679314.799,2365757916155.405,2365757916155.405,0.28,19260817.0,0.235374,0.21174,0.21174
3.0,255.0,pairwise,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-1e-06,-1e-06,-1e-06,0.778096,0.777813,0.777813,2365493719923.09,2365757956861.1724,2365757956861.1724,1.92,19260817.0,0.235374,0.21174,0.21174
3.0,255.0,pairwise,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-1e-06,-1e-06,-1e-06,0.778096,0.777813,0.777813,2365493684056.986,2365757922518.6274,2365757922518.6274,0.3,19260817.0,0.235374,0.21174,0.21174
3.0,255.0,pairwise,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-1e-06,-1e-06,-1e-06,0.778096,0.777813,0.777813,2365493724602.6943,2365757963093.887,2365757963093.887,1.94,19260817.0,0.235374,0.21174,0.21174
3.0,255.0,pairwise,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.531816,0.564731,0.564731,0.532404,0.513162,0.513162,441982970689402.4,452059599197119.0,452059599197119.0,4.4,19260817.0,0.514739,0.57652,0.57652
3.0,255.0,pairwise,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.558254,0.57516,0.57516,0.517154,0.506977,0.506977,461752811698733.8,491225910567573.7,491225910567573.7,8.03,19260817.0,0.530159,0.579665,0.579665
3.0,255.0,pairwise,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.531511,0.564748,0.564748,0.532578,0.513151,0.513151,444115264197908.94,454114687391511.6,454114687391511.6,4.44,19260817.0,0.515873,0.57652,0.57652
3.0,255.0,pairwise,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.557725,0.575761,0.575761,0.517463,0.506618,0.506618,463263186813881.6,490762998735016.6,490762998735016.6,7.94,19260817.0,0.527438,0.569182,0.569182
192.0,4.0,no_interactions,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-1e-06,-1e-06,-1e-06,0.778096,0.777813,0.777813,2365513046220.12,2365778995756.6543,2365778995756.6543,0.23,19260817.0,0.235374,0.21174,0.21174
192.0,4.0,no_interactions,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-1e-06,-1e-06,-1e-06,0.778096,0.777813,0.777813,2365513046220.12,2365778995756.6543,2365778995756.6543,1.86,19260817.0,0.235374,0.21174,0.21174
192.0,4.0,no_interactions,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-1e-06,-1e-06,-1e-06,0.778096,0.777813,0.777813,2365513049887.748,2365778999255.5386,2365778999255.5386,0.22,19260817.0,0.235374,0.21174,0.21174
