n_hidden_layers,alpha,learning_rate_init,activation,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,max_iter,learning_rate,batch_size,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
1.0,0.1,0.1,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.518155,0.55421,0.55421,0.540116,0.519326,0.519326,272526878227318.0,281555395995766.7,281555395995766.7,30.47,19260817.0,1000.0,adaptive,auto,0.521088,0.541929,0.541929
5.0,1e-08,0.1,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.000832,-0.000833,-0.000833,0.77842,0.778137,0.778137,87801694299215.94,87811523621684.12,87811523621684.12,68.87,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
1.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.515629,0.536795,0.536795,0.54153,0.529373,0.529373,607052041652911.9,627252569735510.2,627252569735510.2,28.34,19260817.0,1000.0,adaptive,auto,0.526077,0.5587,0.5587
5.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,-2e-06,-2e-06,-2e-06,0.778097,0.777814,0.777814,3970892796580.641,3971337334537.4014,3971337334537.4014,50.66,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
5.0,0.1,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-0.003697,-0.0037,-0.0037,0.779533,0.779251,0.779251,185050878257246.97,185071594540342.9,185071594540342.9,30.02,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
1.0,1e-08,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.526455,0.538451,0.538451,0.535444,0.528426,0.528426,632658539526524.4,656801873468944.5,656801873468944.5,47.95,19260817.0,1000.0,adaptive,auto,0.525624,0.587002,0.587002
1.0,1e-08,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.503874,0.541032,0.541032,0.548062,0.526946,0.526946,606010792009878.2,618539999725772.4,618539999725772.4,10.53,19260817.0,1000.0,adaptive,auto,0.527891,0.574423,0.574423
5.0,0.1,0.1,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-0.000183,-0.000183,-0.000183,0.778167,0.777884,0.777884,41176248271803.31,41180857916588.89,41180857916588.89,33.16,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
5.0,0.1,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.619471,0.535606,0.535606,0.479985,0.530052,0.530052,373535206320323.6,465781200248030.2,465781200248030.2,395.05,19260817.0,1000.0,adaptive,auto,0.534467,0.555556,0.555556
1.0,1e-08,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.516425,0.552053,0.552053,0.541085,0.520581,0.520581,508374634036706.0,520336416868018.9,520336416868018.9,18.38,19260817.0,1000.0,adaptive,auto,0.512018,0.567086,0.567086
