epsilon,alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,max_iter,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
1.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.459584,0.480737,0.480737,0.572002,0.560492,0.560492,346100792676988.2,344350378418441.4,344350378418441.4,21.44,1000.0,0.503175,0.56499,0.56499
10000.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.506568,0.535418,0.535418,0.546571,0.530159,0.530159,693990736092002.1,707076981140596.5,707076981140596.5,1.9,1000.0,0.521995,0.560797,0.560797
1.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.477861,0.501259,0.501259,0.562246,0.549304,0.549304,389252632497427.6,387283975526004.5,387283975526004.5,10.03,1000.0,0.50068,0.552411,0.552411
10000.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.506913,0.536296,0.536296,0.54638,0.529658,0.529658,695524387653152.2,707683209703070.8,707683209703070.8,4.01,1000.0,0.526077,0.561845,0.561845
1.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.45909,0.480192,0.480192,0.572263,0.560785,0.560785,345160663953577.94,343415002849514.4,343415002849514.4,18.49,1000.0,0.505215,0.567086,0.567086
1.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.479809,0.503528,0.503528,0.561196,0.548053,0.548053,395565584901640.8,393564999373842.1,393564999373842.1,11.53,1000.0,0.509751,0.556604,0.556604
1.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.47534,0.498359,0.498359,0.563602,0.550898,0.550898,381850172028835.4,379918953494059.0,379918953494059.0,2.5,1000.0,0.50771,0.568134,0.568134
10000.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.507062,0.536121,0.536121,0.546298,0.529758,0.529758,696357833388862.0,709438256339147.0,709438256339147.0,5.21,1000.0,0.526757,0.563941,0.563941
10000.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.506568,0.535419,0.535419,0.546571,0.530159,0.530159,694010747761624.6,707096656102370.2,707096656102370.2,1.87,1000.0,0.521995,0.560797,0.560797
1.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.479809,0.503529,0.503529,0.561196,0.548053,0.548053,395566285076469.6,393565696809969.6,393565696809969.6,12.68,1000.0,0.504308,0.560797,0.560797
