n_estimators,max_depth,subsample,max_features,ccp_alpha,learning_rate,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
100.0,3.0,0.4,0.4,0.1,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.023332,0.024395,0.024395,0.768965,0.768267,0.768267,7109138237012.443,7226488398808.547,7226488398808.547,41.4,19260817.0,0.514739,0.552411,0.552411
100.0,24.0,0.4,0.4,0.1,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.024451,0.02557,0.02557,0.768525,0.767804,0.767804,7004659999055.058,7129737338620.802,7129737338620.802,308.43,19260817.0,0.514739,0.552411,0.552411
100.0,3.0,0.85,0.4,0.1,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.415669,0.441688,0.441688,0.594789,0.581184,0.581184,208093771857238.84,213749564091975.38,213749564091975.38,58.07,19260817.0,0.502041,0.542977,0.542977
100.0,3.0,0.85,0.85,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.575723,0.536682,0.536682,0.506825,0.529437,0.529437,442356997094370.9,502053183362447.2,502053183362447.2,134.34,19260817.0,0.548526,0.580713,0.580713
25.0,3.0,0.4,0.85,0.1,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.415564,0.441594,0.441594,0.594842,0.581233,0.581233,209320981889967.03,214984396003008.44,214984396003008.44,11.42,19260817.0,0.502041,0.542977,0.542977
25.0,24.0,0.4,0.4,0.1,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.413049,0.4372,0.4372,0.596121,0.583515,0.583515,268764147832213.6,270970126791225.6,270970126791225.6,19.79,19260817.0,0.514739,0.552411,0.552411
25.0,24.0,0.4,0.4,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.028566,0.028323,0.028323,0.766902,0.766719,0.766719,8584166645957.863,10429101500890.426,10429101500890.426,165.11,19260817.0,0.538322,0.579665,0.579665
100.0,24.0,0.4,0.85,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.585383,0.511299,0.511299,0.501022,0.543747,0.543747,394894748341167.9,471637501710138.2,471637501710138.2,161.97,19260817.0,0.558957,0.532495,0.532495
100.0,24.0,0.85,0.85,0.1,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.059977,0.06257,0.06257,0.754402,0.753086,0.753086,16066361526757.49,16312527051032.645,16312527051032.645,1179.0,19260817.0,0.514739,0.552411,0.552411
100.0,24.0,0.85,0.85,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.527346,0.55561,0.55561,0.53494,0.51851,0.51851,447802887097807.3,458032336604306.8,458032336604306.8,154.28,19260817.0,0.517687,0.595388,0.595388
