n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
20.0,24.0,0.4,0.4,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,-4.216055435348091e+37,-4.2191228022738597e+37,-4.2191228022738597e+37,5.05226889510025e+18,5.052267056356402e+18,5.052267056356402e+18,1.9761364354213337e+34,1.9763568581559545e+34,1.9763568581559545e+34,43.55,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,3.0,0.85,0.85,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,-6.093960003097435e+37,-6.098398747402703e+37,-6.098398747402703e+37,6.07411626084181e+18,6.074116599359035e+18,6.074116599359035e+18,2.375812007528993e+34,2.376078060187248e+34,2.376078060187248e+34,2.48,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,24.0,0.85,0.85,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.396958,-0.396698,-0.396698,0.919655,0.919235,0.919235,1936226487370682.5,1936452264154032.0,1936452264154032.0,43.04,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,3.0,0.4,0.4,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-0.410221,-0.410411,-0.410411,0.92401,0.923737,0.923737,1951774097386403.5,1951994084576716.8,1951994084576716.8,5.14,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,24.0,0.85,0.4,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-0.409556,-0.410224,-0.410224,0.923793,0.923675,0.923675,1951774831593570.0,1952055200619552.8,1952055200619552.8,31.06,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,192.0,0.85,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-0.391723,-0.39793,-0.39793,0.91793,0.91964,0.91964,1936453345564712.8,1937370538495308.8,1937370538495308.8,383.46,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,24.0,0.4,0.85,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,-4.543521819017151e+37,-4.546814210146859e+37,-4.546814210146859e+37,5.244808182930855e+18,5.244798648211958e+18,5.244798648211958e+18,2.0514491436606485e+34,2.051675666005648e+34,2.051675666005648e+34,74.15,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,24.0,0.4,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-0.394719,-0.397888,-0.397888,0.918918,0.919626,0.919626,1936610601367846.8,1937107150237464.8,1937107150237464.8,214.17,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,3.0,0.85,0.4,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,-0.398228,-0.398084,-0.398084,0.920073,0.919691,0.919691,1936243222909980.0,1936460017026254.5,1936460017026254.5,30.8,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,3.0,0.85,0.4,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-6.111962826788999e+37,-6.116414021410164e+37,-6.116414021410164e+37,6.083081744826892e+18,6.083081754321004e+18,6.083081754321004e+18,2.37931919219108e+34,2.379585555176989e+34,2.379585555176989e+34,3.94,19260817.0,2.0,0.235374,0.21174,0.21174
